international_research_network;faculty_student_ratio;international_students;outbound_exchange;citations_per_paper;inbound_exchange;papers_per_faculty;international_faculty;academic_reputation;employer_reputation;faculty_staff_with_PhD
0;0;36.1;0;0;97.8;41.8;37.5;0;0;53.8
0;0;0;0;82.1;0;66.7;0;0;0;18.5
0;61.1;0;0;0;0;0;0;0;0;37.9
0;51.1;24.6;16.7;0;62.1;0;21;0;0;34.6
40.9;34.4;0;40.5;21.6;0;0;0;0;0;0
0;0;0;68.8;42.5;70.3;0;20.7;0;0;24.7
0;33;0;60.2;39.5;32;23.3;0;0;0;30.4
23.1;0;0;0;0;0;0;0;0;24.3;0
0;0;0;0;0;0;0;0;0;0;94.6
23.1;58.6;0;0;0;0;24.5;0;0;0;0
41;0;29.7;0;0;96.8;0;0;0;0;20.9
0;0;19.6;0;0;10.6;0;25.9;0;23.4;0
0;0;46.1;93.1;0;81.8;0;89.5;0;0;29.1
0;50.2;20.8;36.5;0;17.1;0;22.4;0;0;0
0;0;15.8;0;0;0;0;34;0;24.6;0
0;0;0;0;0;0;79.8;0;0;0;78.1
0;0;0;11.7;0;10.2;0;0;16.6;29.2;0
0;84;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;30.6;0
0;0;0;75.4;41.3;0;0;0;0;0;0
0;0;0;0;0;10.6;27.2;74.1;0;0;100
0;22.6;13.4;13;0;0;0;0;0;0;100
28.3;0;22.6;0;29.5;0;19.2;0;0;0;0
0;0;81;100;0;64.3;0;39.2;0;0;0
18.3;0;0;0;0;0;0;0;0;18.3;0
17.7;0;0;0;60.1;0;0;0;0;0;0
0;0;98.3;0;0;12.8;0;67.1;0;17.9;0
0;0;58.2;18.6;0;86.1;17.7;17.5;0;0;55.6
0;0;0;0;0;0;0;0;0;0;86.8
0;0;21.5;0;0;11.3;0;0;0;0;94.5
0;0;56.3;23.6;0;85.7;0;18.8;0;0;30.8
0;0;20.1;13.4;43.4;27.5;0;21.7;0;0;15.7
0;0;0;0;0;0;0;36.4;0;0;34.3
0;0;0;0;0;0;65.6;0;0;0;87.4
0;94.2;0;0;0;0;0;0;0;0;0
0;0;0;0;29.8;0;27;0;0;0;98.8
0;0;0;0;0;0;0;21;15.9;0;0
0;25.4;0;0;55.4;13.7;0;0;0;0;0
0;65.9;93.5;0;0;0;0;0;0;0;0
0;34.7;65.5;0;0;72.2;0;33.5;0;0;0
0;0;0;13.4;0;30.7;0;0;15.4;15.3;0
0;0;34.5;58.9;0;47.1;0;84.6;0;0;0
33.3;0;0;0;50;0;18.3;0;0;0;0
0;0;0;0;0;0;0;0;0;14.1;57.6
25.9;23.2;0;0;41.4;0;32.8;0;0;0;0
0;0;0;0;0;12.2;0;0;0;0;85.3
0;29.8;0;0;0;0;0;33.3;0;17.2;0
0;0;29.2;50.3;0;25.8;0;50.5;16;0;0
0;37.5;13.1;0;0;0;100;0;0;0;0
0;0;0;0;0;0;0;0;14.5;35.6;0
0;23.4;33.7;0;0;0;25.5;0;0;0;0
0;0;0;0;0;0;42.9;0;0;0;96.4
0;0;0;0;31.6;0;0;0;0;0;0
0;31.4;0;0;42.8;0;0;0;0;0;0
0;0;0;0;0;0;0;0;15;26.2;0
25.6;0;0;55.3;20.8;0;24.6;33.9;0;0;0
0;30.8;0;90.2;0;52.3;0;0;0;0;0
0;0;38;39.3;0;93.7;0;34.6;0;20.8;0
22.7;25.5;0;0;0;0;38.8;0;0;0;0
27.8;0;0;0;30;0;0;0;0;0;0
0;0;0;0;31.2;0;0;0;0;16.8;0
0;0;0;0;47.5;0;30.7;0;0;0;0
0;0;0;51.3;0;49.9;0;0;0;16.5;0
0;32.6;0;0;0;0;0;0;0;18.7;0
0;0;43;0;0;0;0;18.8;0;0;73.9
0;0;0;0;0;11;0;0;0;0;0
0;0;0;16.3;0;10.4;0;0;0;0;79.7
0;0;32;0;0;40.3;0;0;0;0;31.2
0;0;0;26;27.7;10.1;0;0;0;0;0
0;0;37.2;58.8;0;73.5;0;69.9;0;0;0
0;25;0;0;34;0;0;0;0;0;0
23.7;0;0;0;0;0;0;0;0;16.1;0
0;26.4;13.8;84.9;0;25.2;0;30.7;0;0;0
0;0;0;0;48.2;0;41.2;0;0;0;0
0;0;17.6;54.1;0;28.9;0;56.2;0;0;0
0;0;0;0;0;0;0;32.7;0;18.3;0
0;0;0;0;0;0;34.2;0;0;15.7;0
0;32.6;13.3;0;32.3;0;0;0;0;0;0
0;0;0;0;54.1;0;0;0;0;0;0
0;27.1;23;18.4;0;63.8;0;0;0;0;0
0;0;0;0;38.7;0;38.9;0;0;0;59.1
0;0;31.3;0;31.6;0;0;48.6;0;0;0
0;0;0;0;0;0;0;0;0;18;0
0;55.1;0;0;0;0;0;0;0;0;0
0;94;0;0;0;0;0;0;0;0;0
0;0;0;0;37.2;0;0;0;0;0;34.8
0;0;20.3;16.2;0;10.2;0;77.5;0;0;0
0;0;100;0;0;0;0;91.9;0;0;0
0;27.5;0;0;0;0;36.1;0;0;0;0
0;0;0;0;0;0;19.7;0;0;0;45.2
0;0;21.7;18.6;0;0;0;0;0;0;73.5
